"comuna","valor_comercial","valor_m2"
"01",384714.117647059,11119.495425719
"02",415268.35443038,11368.1498445239
"03",427680.123076923,9399.39899928788
"04",491374.568445476,12852.4597783076
"05",497486.86244204,15554.9352950429
"06",377256.138888889,10995.1494559881
"07",629267.290798611,23299.9064631642
"08",513629.542669584,19249.3315074656
"09",635517.148191365,20632.1077624057
"10",653912.631123139,50420.9303169685
"11",1050255.5568785,36096.5639548508
"12",785233.766415303,28346.6078208955
"13",580646.605830904,19517.0611558639
"14",1645963.98905796,41890.5935793528
"15",729537.190661479,14763.2751699753
"16",868216.460864486,23829.9036368746
"50",9e+05,10000
"60",559032.625,32083.4270869961
"70",765887.632508834,20394.0138819714
"80",435719.364620939,16211.0702646685
"90",2606420.71428571,9675.02147793564
